"RowNumber","dayof-on","dayof-noton","daybef-on","daybef-noton","gender","HS","type-of-job","num-yrs-driving","cell-tel-exp","type-of-cell","Location"
"355","1","0","0","1","m","yes","nonprof","18","4-5","handsfree","highspeed"
"356","0","1","0","1","m","no","nonprof","44",">6","handheld","highspeed"
"357","0","1","0","1","m","yes","prof","20","2-3","handheld","highspeed"
"358","0","1","0","1","m","yes","nonprof","14","1","handsfree","highspeed"
"359","0","1","0","1","m","yes","prof","16","4-5","handsfree","highspeed"
"360","0","1","0","1","m","yes","nonprof","8","1","handsfree","highspeed"
"361","0","1","0","1","f","yes","prof","21","1","handheld","highspeed"
"362","1","0","0","1","m","yes","nonprof","40",">6","handsfree","highspeed"
"363","0","1","0","1","m","yes","nonprof","12","1","handsfree","lowspeed"
"364","0","1","0","1","m","no","prof","18","1","handsfree","highspeed"
"365","0","1","0","1","m","yes","nonprof","42",">6","handsfree","highspeed"
"366","1","0","0","1","f","yes","prof","15",">6","handsfree","lowspeed"
"367","0","1","0","1","m","yes","nonprof","37","1","handsfree","highspeed"
